,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
data year,2018,2014,2015,2016,2017,2018,2019,2020,2021,2021 or latest
Afghanistan,AFG,3.70,3.26,3.51,3.37,3.20,3.21,,,3.21
Albania,ALB,3.05,3.44,3.96,3.61,,3.92,3.10,,3.92
Algeria,DZA,,,7.34,6.51,5.87,6.10,,,6.10
Angola,AGO,3.12,3.49,2.75,2.47,2.04,1.93,2.42,,2.42
Argentina,ARG,5.36,5.78,5.55,5.45,4.88,4.72,,,4.72
Armenia,ARM,2.25,2.81,2.76,2.71,2.26,2.56,2.71,,2.71
Australia,AUS,5.16,5.32,5.29,5.14,5.12,,,,5.12
Austria,AUT,5.45,5.46,5.48,5.37,5.22,,,,5.22
Azerbaijan,AZE,2.63,2.95,2.90,2.47,2.46,2.68,,,2.46
Bahamas,BHS,2.50,2.25,2.33,2.42,2.25,2.29,2.37,2.78,2.78
Bahrain,BHR,2.47,2.67,2.87,2.32,2.37,2.09,2.15,,2.15
Bangladesh,BGD,,,1.54,,,1.33,,,1.33
Barbados,BRB,6.14,5.38,4.71,4.37,5.43,3.20,3.06,6.45,6.45
Belarus,BLR,4.82,4.79,4.95,4.79,5.38,4.98,4.95,,4.95
Belgium,BEL,6.59,6.45,6.46,6.43,6.38,,,,6.38
Belize,BLZ,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,8.71
Benin,BEN,3.16,3.17,2.90,3.54,2.93,2.97,3.00,,3.00
Bhutan,BTN,6.04,7.59,6.99,7.23,6.85,5.68,,,5.68
Bolivia,BOL,8.26,8.94,8.85,8.66,8.90,,,,8.90
Bosnia and Herzegovina,BIH,,,,,,,,,-
Botswana,BWA,,7.81,7.97,7.30,6.72,6.91,8.74,,8.74
Brazil,BRA,5.95,6.24,6.31,6.32,6.09,,,,6.09
Brunei,BRN,3.35,,4.43,,,,,,-
Bulgaria,BGR,,,,4.08,,,,,
Burkina Faso,BFA,4.05,3.67,,5.63,5.49,5.70,5.52,,5.52
Burundi,BDI,6.78,6.37,4.69,4.76,5.08,5.35,5.04,,5.04
Cabo Verde,CPV,4.96,5.27,5.29,5.18,5.37,4.73,7.58,,7.58
Cambodia,KHM,1.91,2.60,2.80,3.20,2.16,,,,2.16
Cameroon,CMR,2.58,2.66,2.56,3.06,3.03,3.08,3.17,,3.17
Canada,CAN,,,,,,,,,-
Central African Republic,CAF,2.22,1.91,1.75,1.75,1.57,1.77,2.17,,2.17
Chad,TCD,2.60,2.40,2.30,2.45,2.26,2.37,2.91,,2.91
Chile,CHL,4.73,4.88,5.34,5.42,5.43,,,,5.43
China,CHN,3.73,3.82,3.79,3.67,3.54,3.54,3.57,,3.57
Colombia,COL,4.63,4.47,4.48,4.54,4.45,4.51,4.93,,4.93
Comoros,COM,2.74,2.55,,,,,,,
Congo (Dem. Rep.),COD,1.95,2.17,2.12,1.45,,,2.45,2.70,2.70
Congo (Rep.),COG,3.18,3.28,5.24,4.45,3.00,3.58,4.45,,4.45
