COUNTRY,CODE,GDP (BILLIONS)
Afghanistan,AFG,36000000
Albania,ALB,2900000
Algeria,DZA,41000000
Angola,AGO,30000000
Argentina,ARG,44000000
Armenia,ARM,3000000
Australia,AUS,25000000
Austria,AUT,9000000
Azerbaijan,AZE,10000000
Bahamas,BHS,400000
Bahrain,BHR,1300000
Bangladesh,BGD,165000000
Barbados,BRB,300000
Belarus,BLR,10000000
Belgium,BEL,11000000
Belize,BLZ,400000
Benin,BEN,11000000
Bhutan,BTN,800000
Bolivia,BOL,11000000
Bosnia and Herzegovina,BIH,3900000
Botswana,BWA,2200000
Brazil,BRA,209000000
Brunei,BRN,400000
Bulgaria,BGR,7000000
Burkina Faso,BFA,19000000
Burundi,BDI,11000000
Cabo Verde,CPV,500000
Cambodia,KHM,16000000
Cameroon,CMR,24000000
Canada,CAN,37000000
Central African Republic,CAF,4900000
Chad,TCD,15000000
Chile,CHL,18000000
China,CHN,1386000000
Colombia,COL,49000000
Comoros,COM,800000
Congo (Dem. Rep.),COD,81000000
Congo (Rep.),COG,4500000
Costa Rica,CRI,4900000
Cote d'Ivoire,CIV,24000000
Croatia,HRV,4200000
Cuba,CUB,11000000
Cyprus,CYP,800000
Czech Republic,CZE,11000000
Denmark,DNK,6000000
Djibouti,DJI,1000000
Dominican Republic,DOM,11000000
Ecuador,ECU,17000000
Egypt,EGY,98000000
El Salvador,SLV,6000000
Equatorial Guinea,GNQ,800000
Eritrea,ERI,5000000
Estonia,EST,1300000
Eswatini,SWZ,1100000
Ethiopia,ETH,105000000
Fiji,FJI,900000
Finland,FIN,6000000
France,FRA,67000000
Gabon,GAB,1900000
"Gambia, The",GMB,2100000
Georgia,GEO,3700000
Germany,DEU,83000000
Ghana,GHA,29000000
Greece,GRC,11000000
Guatemala,GTM,17000000
Guinea,GIN,13000000
Guinea-Bissau,GNB,1700000
Guyana,GUY,800000
Haiti,HTI,11000000
Honduras,HND,9000000
Hungary,HUN,10000000
Iceland,ISL,300000
India,IND,1339000000
Indonesia,IDN,264000000
Iran,IRN,81000000
Iraq,IRQ,38000000
Ireland,IRL,4700000
Israel,ISR,9000000
Italy,ITA,61000000
Jamaica,JAM,2800000
Japan,JPN,127000000
Jordan,JOR,10000000
Kazakhstan,KAZ,18000000
Kenya,KEN,50000000
Korea (Dem. People’s Rep.),PRK,25000000
Korea (Rep.),KOR,51000000
Kosovo,-,1900000
Kuwait,KWT,4200000
Kyrgyzstan,KGZ,6000000
Laos,LAO,7000000
Latvia,LVA,2000000
Lebanon,LBN,4600000
Lesotho,LSO,1900000
Liberia,LBR,4400000
Libya,LBY,6000000
Lithuania,LTU,2900000
Luxembourg,LUX,600000
Macedonia,MKD,2100000
Madagascar,MDG,26000000
Malawi,MWI,19000000
Malaysia,MYS,32000000
Maldives,MDV,400000
Mali,MLI,19000000
Malta,MLT,400000
Mauritania,MRT,3800000
Mauritius,MUS,1300000
Mexico,MEX,129000000
Moldova,MDA,3600000
Mongolia,MNG,3000000
Montenegro,MNE,600000
Morocco,MAR,36000000
Mozambique,MOZ,30000000
Myanmar,MMR,53000000
Namibia,NAM,2300000
Nepal,NPL,29000000
Netherlands,NLD,17000000
New Zealand,NZL,4700000
Nicaragua,NIC,6000000
Niger,NER,21000000
Nigeria,NGA,191000000
Norway,NOR,5000000
Oman,OMN,4000000
Pakistan,PAK,197000000
Panama,PAN,4000000
Papua New Guinea,PNG,8000000
Paraguay,PRY,7000000
Peru,PER,32000000
Philippines,PHL,105000000
Poland,POL,38000000
Portugal,PRT,10000000
Qatar,QAT,2600000
Romania,ROU,20000000
Russia,RUS,144000000
Rwanda,RWA,12000000
Saudi Arabia,SAU,33000000
Senegal,SEN,16000000
Serbia,SRB,7000000
Sierra Leone,SLE,8000000
Singapore,SGP,6000000
Slovakia,SVK,5000000
Slovenia,SVN,2100000
Solomon Islands,SLB,600000
Somalia,SOM,15000000
South Africa,ZAF,57000000
South Sudan,SSD,13000000
Spain,ESP,47000000
Sri Lanka,LKA,21000000
Sudan,SDN,41000000
Suriname,SUR,600000
Sweden,SWE,10000000
Switzerland,CHE,8000000
Syria,SYR,18000000
Taiwan,TWN,24000000
Tajikistan,TJK,9000000
Tanzania,TZA,57000000
Thailand,THA,69000000
Timor-Leste,TLS,1200000
Togo,TGO,8000000
Trinidad and Tobago,TTO,1400000
Tunisia,TUN,12000000
Turkiye,TUR,81000000
Turkmenistan,TKM,6000000
Uganda,UGA,43000000
Ukraine,UKR,45000000
United Arab Emirates,ARE,9000000
United Kingdom,GBR,66000000
United States,USA,326000000
Uruguay,URY,3500000
Uzbekistan,UZB,32000000
Venezuela,VEN,32000000
Vietnam,VNM,96000000
Yemen,YEM,28000000
Zambia,ZMB,17000000
Zimbabwe,ZWE,17000000
