,Unnamed: 0,indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index 2016,happy planet index 2019,human development index 2017,human development index 2021,sustainable economic development assessment (SEDA),GDP growth (annual %) 2018,GDP growth (annual %) latest,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,Economic Growth 2018,Economic Growth latest,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP latest,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,infant mortality,"maternal mortality per 100,000 live births",education expenditure % of GDP 2014,education expenditure % of GDP 2018,education expenditure % of GDP 2021,Education as % of GDP 2018,Education as % of GDP latest,% of primary school aged kids out of school 2018,% of primary school aged kids out of school latest,Unemployment (%) 2018,Unemployment (%) 2021,% of population in extreme poverty,% of population with access to electricity,political rights score 2018,political rights score 2022,civil liberties score 2018,civil liberties score 2021,political stability & absence of violence 2017,political stability & absence of violence 2021,government effectiveness 2017,government effectiveness 2021,regulatory quality 2017,regulatory quality 2021,rule of law 2017,rule of law 2021,control of corruption 2017,control of corruption 2018,judicial effectiveness score 2018,judicial effectiveness score 2022,government integrity score 2018,government integrity score 2022,overall economic freedom score 2017,overall economic freedom score 2022,financial freedom score 2018,financial freedom score 2022,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation 2015,share of electricity from renewables generation latest,% of seats held by women in national parliaments 2017,% of seats held by women in national parliaments 2018,% of seats held by women in national parliaments 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),continents,education expenditure % of GDP latest,share of electricity from renewables generation,% of seats held by women in national parliaments
0,0,Afghanistan,AFG,36000000,652230,,20.2,29.4,0.498,0.478,,1.5,-2.35,75.6,78.6,76.7,76.7,2082.0,2152.0,2078.0,2078.0,1.19,-2.35,3.7,3.26,3.51,3.37,3.2,3.21,3.21,3.21,3.21,184.0,70.0,65.8,60.8,638.0,3.8,3.2,3.2,3.2,3.21,,,8.5,13.28,0.0,97.7,12,1,14,9,-2.78,-2.53,-1.3,-1.6,-1.3,-1.3,-1.57,-1.871,-1.52,-1.14,28.2,28.2,26.2,26.2,51.3,51.3,10.0,10.0,26.3,0.16,86.1,82.8,27.7,27.7,27.0,1.20,1.20,Afghanistan,AF,AFG,4,33.0,65.0,Asia,3.2,82.8,27.0
1,1,Albania,ALB,2900000,27398,29.0,36.8,51.0,0.785,0.796,53.1,2.6,8.54,38.2,39.0,37.6,40.8,13498.0,13999.0,13632.0,15646.0,4.02,8.54,3.05,3.44,3.96,3.61,3.61,3.92,3.1,3.1,3.92,774.0,274.9,274.9,2.4,15.0,,,3.1,,3.1,2.56,3.84,16.3,11.82,0.0,100.0,28,28,40,39,0.4,0.11,0.1,0.0,0.2,0.2,-0.4,-0.256,-0.42,-0.56,25.4,49.8,39.9,35.6,64.5,66.6,70.0,70.0,30.1,1.69,100.0,100.0,27.9,28.0,36.0,1.42,1.30,Albania,AL,ALB,8,41.0,20.0,Europe,3.1,100.0,36.0
2,2,Algeria,DZA,41000000,2381740,35.3,33.3,46.5,0.754,0.745,45.8,3.7,3.85,491.1,496.1,470.8,488.9,11909.0,12008.0,11323.0,12037.0,1.1,3.85,,,7.34,6.51,5.87,6.1,6.1,6.1,6.1,1031.0,256.0,248.2,11.6,112.0,,5.87,6.1,5.87,6.1,0.35,0.18,11.2,12.7,,99.8,10,10,25,22,-0.96,-0.88,-0.6,-0.6,-1.2,-1.2,-0.86,-0.816,-0.61,-0.61,35.2,29.7,29.0,30.1,44.7,45.8,30.0,30.0,42.5,3.98,0.3,1.1,25.8,26.0,8.0,5.59,6.00,Algeria,DZ,DZA,12,28.0,3.0,Africa,6.1,1.1,8.0
3,3,Angola,AGO,30000000,1246700,42.7,,,0.581,0.586,28.4,3.0,0.7,215.1,213.6,201.9,203.3,7149.0,6995.0,6478.0,6581.0,-1.32,0.7,3.12,3.49,2.75,2.47,2.04,1.93,2.42,2.42,2.42,196.0,87.3,71.3,8.8,241.0,,2.04,2.42,2.04,2.42,,,6.6,8.53,11.9,46.9,10,10,16,20,-0.29,-0.71,-1.0,-1.1,-1.0,-0.7,-1.1,-0.952,-1.41,-0.66,25.4,25.3,18.9,20.6,48.6,52.6,40.0,40.0,32.1,0.79,54.5,68.2,38.2,30.0,30.0,1.13,1.60,Angola,AO,AGO,24,-12.5,18.5,Africa,2.42,68.2,30.0
4,4,Argentina,ARG,44000000,2736690,41.7,35.2,50.0,0.825,0.842,57.3,1.2,10.26,1012.1,991.6,893.5,985.2,23291.0,22997.0,20769.0,23627.0,-2.62,10.26,5.36,5.78,5.55,5.45,4.88,4.72,4.72,4.72,4.72,1390.0,1127.9,946.0,9.7,39.0,5.4,4.88,4.72,4.88,4.72,0.4,0.42,6.6,10.9,0.3,100.0,33,35,50,49,0.18,-0.11,0.2,-0.4,-0.3,-0.6,-0.25,-0.462,-0.26,-0.4,44.5,57.9,32.6,45.1,52.3,50.1,60.0,60.0,38.5,3.74,30.7,27.1,38.9,39.0,45.0,0.57,0.70,Argentina,AR,ARG,32,-34.0,-64.0,South America,4.72,27.1,45.0
5,5,Armenia,ARM,3000000,28203,31.5,25.7,54.7,0.755,0.759,51.7,3.0,5.7,37.5,40.4,37.4,39.5,13019.0,14230.0,13311.0,14630.0,5.2,5.7,2.25,2.81,2.76,2.71,2.26,2.56,2.71,2.71,2.71,883.0,422.3,524.0,,26.0,2.2,2.26,2.71,2.26,2.71,6.91,10.48,16.8,20.9,0.1,100.0,15,23,30,32,-0.71,-0.84,-0.1,-0.2,0.3,0.1,-0.16,-0.096,-0.56,0.07,47.4,33.1,40.5,50.8,68.7,65.3,70.0,70.0,25.8,2.09,29.6,24.6,18.1,18.0,34.0,4.44,4.90,Armenia,AM,ARM,51,40.0,45.0,Asia,2.71,24.6,34.0
6,6,Australia,AUS,25000000,7682300,30.3,21.2,43.1,0.939,0.951,78.9,2.5,1.48,1224.9,1250.8,1250.7,1269.2,50169.0,51748.0,53317.0,55807.0,2.87,1.48,5.16,5.32,5.29,5.14,5.12,5.12,5.12,5.12,5.12,4492.0,5364.5,5427.5,3.0,6.0,5.2,5.12,5.12,5.12,5.12,0.43,1.46,5.7,5.11,0.4,100.0,40,39,58,56,0.9,0.85,1.5,1.5,1.9,1.8,1.68,1.674,1.8,1.74,93.4,95.2,77.4,87.0,80.9,77.7,90.0,90.0,36.0,15.24,14.4,24.6,28.7,29.0,31.0,1.98,1.90,Australia,AU,AUS,36,-27.0,133.0,Oceania,5.12,24.6,31.0
7,7,Austria,AUT,9000000,82445,30.5,30.5,46.8,0.908,0.916,80.3,0.9,4.48,488.5,495.8,462.4,483.1,56960.0,58076.0,55686.0,58427.0,2.5,4.48,5.45,5.46,5.48,5.37,5.22,5.22,5.22,5.22,5.22,5138.0,5322.3,5242.2,17.3,5.0,5.4,5.22,5.22,5.22,5.22,0.04,0.06,6.1,6.3,0.5,100.0,37,37,57,56,1.04,0.91,1.5,1.6,1.4,1.3,1.81,1.788,1.53,1.27,80.9,94.6,73.5,82.9,71.8,73.8,70.0,70.0,51.8,7.29,80.0,83.9,30.6,34.0,40.0,0.80,0.70,Austria,AT,AUT,40,47.3333,13.3333,Europe,5.22,83.9,40.0
8,8,Azerbaijan,AZE,10000000,82629,33.7,,48.0,0.757,0.745,51.1,1.1,5.6,141.2,144.8,138.5,146.3,14549.0,15052.0,14479.0,15843.0,1.5,5.6,2.63,2.95,2.9,2.47,2.46,2.68,2.68,2.68,2.46,1191.0,168.4,193.1,38.6,26.0,2.6,2.46,2.68,2.46,2.68,3.89,10.46,5.1,6.58,,100.0,3,2,9,7,-0.76,-0.85,-0.2,0.2,-0.3,-0.1,-0.56,-0.585,-0.88,-0.83,36.8,15.9,39.9,28.6,64.3,61.6,60.0,60.0,36.8,3.54,7.8,12.3,16.8,17.0,18.0,5.27,4.00,Azerbaijan,AZ,AZE,31,40.5,47.5,Asia,2.68,12.3,18.0
9,9,Bahamas,BHS,400000,10010,,,,0.807,0.812,60.4,0.5,13.72,14.0,14.2,10.8,12.3,37066.0,38064.0,29065.0,34108.0,1.83,13.72,2.5,2.25,2.33,2.42,2.25,2.29,2.37,2.78,2.78,1699.0,2002.4,2004.6,4.9,70.0,,2.25,2.78,2.25,2.78,,,15.3,13.24,,100.0,38,38,53,53,1.0,0.88,0.6,0.5,0.1,0.1,0.19,0.102,1.17,1.18,53.5,78.8,50.9,64.3,63.3,68.7,60.0,60.0,23.8,7.29,0.0,0.0,12.8,13.0,18.0,,,Bahamas,BS,BHS,44,24.25,-76.0,North America,2.78,0.0,18.0
