,Country/territory,certified,Unnamed: 2,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),cert_2009,cert_2010,cert_2011,cert_2012,cert_2013,cert_2014,cert_2015,cert_2016,cert_2017,cert_2018,cert_2019,cert_2020,cert_2021
0,Algeria,2019.0, ,Algeria,DZ,DZA,12,28.0,3.0,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,2019.0,2019.0
1,Lesotho,2012.0,,Lesotho,LS,LSO,426,-29.5,28.5,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
2,Mauritius,1973.0, ,Mauritius,MU,MUS,480,-20.2833,57.55,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
3,Réunion,1979.0, ,Réunion,RE,REU,638,-21.1,55.6,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0
4,Seychelles,2012.0,,Seychelles,SC,SYC,690,-4.5833,55.6667,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
5,Bahrain,2012.0,,Bahrain,BH,BHR,48,26.0,50.55,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
6,Jordan,2012.0,,Jordan,JO,JOR,400,31.0,36.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
7,Kuwait,1963.0,,Kuwait,KW,KWT,414,29.3375,47.6581,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
8,Lebanon,2012.0,,Lebanon,LB,LBN,422,33.8333,35.8333,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
9,Libyan Arab Jamahiriya,2012.0,,Libyan Arab Jamahiriya,LY,LBY,434,25.0,17.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
